date,r,open,high,low,close,volume,rsrs,turnover,money,circulating_cap,MA5,MA10,MA20,MA60,,, ,,,,,,,circulating_market_cap(าฺิช),turn_over(v/c),turn_over(m/cmc),recog,Unnamed: 13,Unnamed: 14,turn_over(v/cc)
2015/12/4,-0.022985433,2325.071,2481.537,2280.683,2397.562,30575601600,0.625628236,-0.000139654,3.09E+11,152222597,2428.0032,2348.6142,2351.09965,2490.456417,,,,,,,,,,,,,,,,
2015/12/11,0.03431531,2398.088,2404.912,2324.625,2342.453,15499674800,0.597668974,3.37E-05,1.73E+11,152222597,2397.797,2368.2477,2331.1701,2502.6887,,,,,,,,,,,,,,,,
2015/12/18,0.028685816,2319.198,2466.346,2316.902,2422.835,20858838100,0.554556056,7.69E-05,2.51E+11,152228370,2392.8094,2388.6018,2329.24985,2516.678967,,,,,,,,,,,,,,,,
2015/12/25,-0.028701989,2415.63,2550.899,2414.838,2492.336,27103561100,0.624037865,0.000359377,3.40E+11,152228370,2397.9252,2405.4579,2328.67685,2530.596467,,,,,,,,,,,,,,,,
2015/12/31,-0.083108442,2498.781,2502.333,2399.92,2420.801,13419128100,0.84032836,-9.52E-06,1.58E+11,152228370,2415.1974,2413.1415,2320.865,2543.604433,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,-0.017398063,,,,,,,9218.88,2745277.409,0.387541589,0.018312606,,2007/6/1,0.437662305
,,,,,,,,,,,,,,,,,0.062940408,,,,,,,9856.5699,1821218.799,0.24564567,-0.029394603,,2007/6/8,0.310288532
,,,,,,,,,,,,,,,,,0.0005702,,,,,,,10058.47,1638371.303,0.236236473,0.044447304,,2007/6/15,0.278983417
,,,,,,,,,,,,,,,,,-0.040041692,,,,,,,10094.2402,1474410.456,0.222268928,0.063546496,,2007/6/22,0.251584051
,,,,,,,,,,,,,,,,,-0.018912631,,,,,,,10072.37,1216418.618,0.173920592,-0.039494324,,2007/6/29,0.205375168
,,,,,,,,,,,,,,,,,0.038314279,,,,,,,10576.19,887336.9805,0.116659842,-0.058197029,,2007/7/6,0.154872139
