 ,r,open,high,low,close,volume,rsrs,turnover,money,circulating_cap,MA5,MA10,MA20,MA60
2010/9/21,0.026118126,1859.424,1873.706,1844.157,1864.414,2659227700,0.459247864,-0.000756072,27926069869,75179782,1896.8272,1929.3307,1915.83085,2215.527883
2010/9/30,0.040198964,1869.983,1914.239,1856.816,1913.109,9065769500,0.413071584,0.000249547,1.07E+11,75303623,1895.9328,1926.0965,1910.4998,2200.464933
2010/10/8,0.132852332,1933.419,1997.489,1932.595,1990.014,4058764600,0.433924757,0.001249883,48462232480,75303623,1908.0984,1926.4219,1912.82905,2189.7237
2010/10/15,-0.010350906,2005.696,2255.566,2005.696,2254.392,35631943400,0.727822888,0.000386793,3.94E+11,77257929,1975.8478,1953.9383,1926.86755,2186.238183
2010/10/22,-0.01863601,2270.413,2321.691,2212.608,2231.057,30538921500,0.885285984,0.000307296,3.51E+11,77476792,2050.5972,1983.9769,1943.6979,2183.963017
2010/10/29,0.040888723,2232.015,2310.011,2180.86,2189.479,21960926700,0.949952668,-0.000101584,2.68E+11,77476792,2115.6102,2006.2187,1959.01205,2183.8957
2010/11/5,-0.065126257,2198.465,2308.039,2198.465,2279.004,24348030100,1.020005578,6.84E-05,2.94E+11,77476792,2188.7892,2042.361,1979.4187,2184.587567
2010/11/12,-0.042775187,2287.5,2294.686,2126.782,2130.581,24424137400,1.070039959,-0.000104631,3.00E+11,94999596,2216.9026,2062.5005,1990.15225,2180.81425
2010/11/19,-0.010320455,2135.514,2144.083,1978.693,2039.445,17252811500,1.059055352,-0.000580678,2.03E+11,95307631,2173.9132,2074.8805,2001.4955,2176.533017
2010/11/26,-0.005091664,2015.833,2042.016,1957.081,2018.397,13207995000,1.10207976,-0.000384437,1.53E+11,96433845,2131.3812,2090.9892,2008.9002,2173.072917
2010/12/3,0.006738143,2008.981,2023.856,1943.392,2008.12,9952049100,1.100345659,-0.000148832,1.15E+11,96433845,2095.1094,2105.3598,2017.34525,2169.901467
2010/12/10,0.005187344,2016.108,2056.063,1985.176,2021.651,11481952200,1.095148493,1.37E-05,1.33E+11,97628846,2043.6388,2116.214,2021.15525,2165.117617
2010/12/17,-0.009294644,2027.448,2084.194,2021.808,2032.138,13170246200,1.082002329,8.88E-05,1.46E+11,97764773,2023.9502,2120.4264,2023.42415,2159.67045
2010/12/24,-0.017823917,2039.286,2057.977,1969.98,2013.25,11966225700,1.080432659,-3.40E-05,1.34E+11,97764773,2018.7112,2096.3122,2025.12525,2151.865583
2010/12/31,0.014670021,2028.554,2045.235,1925.231,1977.366,11639217700,1.065021016,-0.000227111,1.26E+11,98074699,2010.505,2070.9431,2027.46,2145.22115
